2015-01-01,1,Promotional Bonus Interest,Interest,0.64,1032.93
2015-01-31,2,Interest Paid,Interest,0.88,1033.81
2015-02-28,1,Interest Paid,Interest,0.61,1034.42
2015-03-31,1,Interest Paid,Interest,0.66,1035.08
2015-04-30,1,Interest Paid,Interest,0.64,1035.72
2015-05-31,1,Interest Paid,Interest,0.66,1036.38
2015-06-30,1,Interest Paid,Interest,0.64,1037.02
2015-07-31,1,Interest Paid,Interest,0.66,1037.68
2015-08-19,1,EFT Deposit from C.D. DE SAINT-HENRI ET VILLE-EMARD,Deposit,6000,7037.68
2015-08-31,2,Interest Paid,Interest,1.51,7039.19
2015-09-01,1,Promotional Bonus Interest,Interest,3.21,7042.4
2015-09-30,2,Interest Paid,Interest,2.89,7045.29
2015-10-01,1,Promotional Bonus Interest,Interest,7.4,7052.69
2015-10-31,2,Interest Paid,Interest,2.99,7055.68
2015-11-01,1,Promotional Bonus Interest,Interest,7.64,7063.32
2015-11-02,2,EFT Withdrawal to C.D. DE SAINT-HENRI ET VILLE-EMARD,Withdrawal,-2000,5063.32
2015-11-30,3,Interest Paid,Interest,2.11,5065.43
2015-12-01,1,Promotional Bonus Interest,Interest,5.01,5070.44
2015-12-31,2,Interest Paid,Interest,2.15,5072.59
