Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
2012-06-29,Accounts Receivable,,CREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$1,500.00",,"1,500.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-06-29,Accounts Receivable,,CREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$1,500.00",,"1,500.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$1,500.00",,"1,500.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-07-01,Accounts Receivable,310,CREMOVED,,,-- Split Transaction --,T,Invoice,Y,C$750.00,,750.00,,,
,,,,,,Accounts Receivable,S,Invoice,Y,C$750.00,,750.00,,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$65.07,,-65.07,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$32.62,,-32.62,,1.00
,,,,,,iField,S,Invoice,Y,,-C$652.31,,-652.31,,1.00
2012-07-01,Accounts Receivable,313,BREMOVED,,,-- Split Transaction --,T,Invoice,Y,C$750.01,,750.01,,,
,,,,,,Accounts Receivable,S,Invoice,Y,C$750.01,,750.01,,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$65.07,,-65.07,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$32.62,,-32.62,,1.00
,,,,,,iField,S,Invoice,Y,,-C$652.32,,-652.32,,1.00
2012-07-01,Accounts Receivable,316,WREMOVED,,,-- Split Transaction --,T,Invoice,Y,C$750.00,,750.00,,,
,,,,,,Accounts Receivable,S,Invoice,Y,C$750.00,,750.00,,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$65.07,,-65.07,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$32.62,,-32.62,,1.00
,,,,,,iField,S,Invoice,Y,,-C$652.31,,-652.31,,1.00
2012-07-23,Accounts Receivable,,BREMOVED,,BREMOVED,Checking Account,T,Payment,Y,"-C$2,250.01",,"-2,250.01",,,
,,,,,,Checking Account,S,Payment,Y,,"C$2,250.01",,"2,250.01",,1.00
,,,,,BREMOVED,Accounts Receivable,S,Payment,Y,"-C$2,250.01",,"-2,250.01",,1.00,
2012-07-23,Accounts Receivable,,BREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$1,500.00",,"1,500.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-07-23,Accounts Receivable,,BREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$1,500.00",,"1,500.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$1,500.00",,"1,500.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-07-23,Accounts Receivable,,BREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,-C$750.01,,-750.01,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.01,,750.01,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.01,,-750.01,,1.00,
2012-07-23,Accounts Receivable,,BREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,C$750.01,,750.01,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.01,,750.01,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.01,,-750.01,,1.00,
2012-08-01,Accounts Receivable,311,CREMOVED,,,-- Split Transaction --,T,Invoice,Y,C$750.00,,750.00,,,
,,,,,,Accounts Receivable,S,Invoice,Y,C$750.00,,750.00,,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$65.07,,-65.07,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$32.62,,-32.62,,1.00
,,,,,,iField,S,Invoice,Y,,-C$652.31,,-652.31,,1.00
2012-08-07,Accounts Receivable,,CREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,-C$750.00,,-750.00,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.00,,750.00,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.00,,-750.00,,1.00,
2012-08-07,Accounts Receivable,,CREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,C$750.00,,750.00,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.00,,750.00,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.00,,-750.00,,1.00,
2012-08-07,Accounts Receivable,5,CREMOVED,,CREMOVED,Checking Account,T,Payment,Y,-C$750.00,,-750.00,,,
,,,,,,Checking Account,S,Payment,Y,,C$750.00,,750.00,,1.00
,,,,,CREMOVED,Accounts Receivable,S,Payment,Y,-C$750.00,,-750.00,,1.00,
2012-08-15,Accounts Receivable,,RREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$2,874.38",,"-2,874.38",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$2,874.38",,"2,874.38",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$2,874.38",,"-2,874.38",,1.00,
2012-08-15,Accounts Receivable,,RREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$2,874.38",,"2,874.38",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$2,874.38",,"2,874.38",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$2,874.38",,"-2,874.38",,1.00,
2012-08-15,Accounts Receivable,6,RREMOVED,,RREMOVED,Checking Account,T,Payment,Y,"-C$2,874.38",,"-2,874.38",,,
,,,,,,Checking Account,S,Payment,Y,,"C$2,874.38",,"2,874.38",,1.00
,,,,,RREMOVED,Accounts Receivable,S,Payment,Y,"-C$2,874.38",,"-2,874.38",,1.00,
2012-08-28,Accounts Receivable,,CREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,-C$750.00,,-750.00,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.00,,750.00,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.00,,-750.00,,1.00,
2012-08-28,Accounts Receivable,,CREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,C$750.00,,750.00,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.00,,750.00,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.00,,-750.00,,1.00,
2012-08-28,Accounts Receivable,7,CREMOVED,,CREMOVED,Checking Account,T,Payment,Y,-C$750.00,,-750.00,,,
,,,,,,Checking Account,S,Payment,Y,,C$750.00,,750.00,,1.00
,,,,,CREMOVED,Accounts Receivable,S,Payment,Y,-C$750.00,,-750.00,,1.00,
2012-09-07,Accounts Receivable,,WREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$1,500.00",,"1,500.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-09-07,Accounts Receivable,,WREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$1,500.00",,"1,500.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$1,500.00",,"1,500.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-09-07,Accounts Receivable,1,WREMOVED,,WREMOVED,Checking Account,T,Payment,Y,"-C$1,500.00",,"-1,500.00",,,
,,,,,,Checking Account,S,Payment,Y,,"C$1,500.00",,"1,500.00",,1.00
,,,,,WREMOVED,Accounts Receivable,S,Payment,Y,"-C$1,500.00",,"-1,500.00",,1.00,
2012-09-10,Accounts Receivable,319,TREMOVED,,,-- Split Transaction --,T,Invoice,Y,"C$3,000.00",,"3,000.00",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$3,000.00",,"3,000.00",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$260.27,,-260.27,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$130.46,,-130.46,,1.00
,,,,,,iField,S,Invoice,Y,,"-C$2,609.27",,"-2,609.27",,1.00
2012-09-13,Accounts Receivable,,WREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,-C$750.00,,-750.00,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.00,,750.00,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.00,,-750.00,,1.00,
2012-09-13,Accounts Receivable,,WREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,C$750.00,,750.00,,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,C$750.00,,750.00,,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,-C$750.00,,-750.00,,1.00,
2012-09-13,Accounts Receivable,2,WREMOVED,,WREMOVED,Checking Account,T,Payment,Y,-C$750.00,,-750.00,,,
,,,,,,Checking Account,S,Payment,Y,,C$750.00,,750.00,,1.00
,,,,,WREMOVED,Accounts Receivable,S,Payment,Y,-C$750.00,,-750.00,,1.00,
2012-10-01,Accounts Receivable,328,RREMOVED,,,-- Split Transaction --,T,Invoice,Y,"C$1,437.19",,"1,437.19",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$1,437.19",,"1,437.19",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$124.69,,-124.69,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$62.50,,-62.50,,1.00
,,,,,,PhoPhlo,S,Invoice,Y,,"-C$1,250.00",,"-1,250.00",,1.00
2012-10-15,Accounts Receivable,322,WSX,,,-- Split Transaction --,T,Invoice,Y,"C$6,609.90",,"6,609.90",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$6,609.90",,"6,609.90",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$591.20,,-591.20,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$296.34,,-296.34,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$5,722.36",,"-5,722.36",,1.00
2012-10-26,Accounts Receivable,,TREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$3,000.00",,"-3,000.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$3,000.00",,"3,000.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$3,000.00",,"-3,000.00",,1.00,
2012-10-26,Accounts Receivable,,TREMOVED,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$3,000.00",,"3,000.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$3,000.00",,"3,000.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$3,000.00",,"-3,000.00",,1.00,
2012-10-26,Accounts Receivable,2,TREMOVED,,TREMOVED,Checking Account,T,Payment,Y,"-C$3,000.00",,"-3,000.00",,,
,,,,,,Checking Account,S,Payment,Y,,"C$3,000.00",,"3,000.00",,1.00
,,,,,TREMOVED,Accounts Receivable,S,Payment,Y,"-C$3,000.00",,"-3,000.00",,1.00,
2012-10-30,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$6,609.90",,"-6,609.90",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$6,609.90",,"6,609.90",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$6,609.90",,"-6,609.90",,1.00,
2012-10-30,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$6,609.90",,"6,609.90",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$6,609.90",,"6,609.90",,1.00,
