CD ST-HENRI VILLE-EMARD,81216,"EOP",2012/01/09,,"Depot au GA ??","","",1049.18,"","","","",,ReconstructedFromGnuCash,Sales:PSREMOVED
CD ST-HENRI VILLE-EMARD,81216,"EOP",2012/01/24,,"Depot au GA ??","","",500,"","","","",,ReconstructedFromGnuCash,Sales:SREMOVED
CD ST-HENRI VILLE-EMARD,81211,"EOP",2012/01/31,,"Frais fixes d'utilisation","",4.95,"","","","","",,ReconstructedFromGnuCash,
