2016-01-31,1,Interest Paid,Interest,2.15,5074.74
2016-02-12,1,EFT Withdrawal to C.D. DE SAINT-HENRI ET VILLE-EMARD,Withdrawal,-2000,3074.74
2016-02-29,2,Interest Paid,Interest,1.52,3076.26
2016-03-28,1,EFT Withdrawal to C.D. DE SAINT-HENRI ET VILLE-EMARD,Withdrawal,-1600,1476.26
2016-03-31,2,Interest Paid,Interest,1.22,1477.48
2016-04-30,1,Interest Paid,Interest,0.61,1478.09
2016-05-06,1,EFT Withdrawal to C.D. DE SAINT-HENRI ET VILLE-EMARD,Withdrawal,-478.09,1000
2016-05-24,2,EFT Withdrawal to C.D. DE SAINT-HENRI ET VILLE-EMARD,Withdrawal,-1000,0
2016-05-31,3,Interest Paid,Interest,0.35,0.35
