Date,AccountNumber2,Payee3,Notes,Account Name,Total,Expense,TPS,TVQ,Category,CategoryID,Reconciled from
2017-03-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,13.88,13.88,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2017-03-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-04-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,8.67,8.67,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2017-04-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-05-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-06-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-07-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-08-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-09-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6013,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,fieldl
2017-09-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6014,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,seedn
2017-09-05,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6015,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,field
2017-09-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2017-10-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6016,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,sync.com
2017-10-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6017,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,sync.org
2017-10-07,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6018,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,lab.ca
2017-10-17,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6019,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,ces
2017-10-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
