Date1,AccountNumber2,Payee3,Total,TotalGnucash4,ExpenseGnucash5,Expense,TPSGnucash6,TPS,TVQGnucash7,TVQ,TipsGnucash8,Tips,Currency,Category,CategoryID,Category9,MemoField,Reconciled from
2014-01-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            0.31 US DOLLAR,0.34,,,0.34,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-01-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            11.54 US DOLLAR,12.63,,,12.63,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-01-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            15.89 US DOLLAR,17.38,,,17.38,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-01-04,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO AIRTIME,140.12,,,121.87,,6.09,,12.16,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2014-01-20,31944d3aedb7a5e7a87c9aa3f8dae825,GEMSTELECOM,257.46,,,223.92,,11.2,,22.34,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2014-02-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            11.56 US DOLLAR,13.2,,,13.20,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-02-05,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            16.06 US DOLLAR,18.3,,,18.30,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-02-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,64.74,,,56.30,,2.82,,5.62,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2014-02-20,31944d3aedb7a5e7a87c9aa3f8dae825,GEMSTELECOM,69.04,,,60.05,,3,,5.99,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2014-02-21,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,45,,,39.14,,1.96,,3.9,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-03-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            14.02 US DOLLAR,15.97,,,15.97,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-03-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            6.16 US DOLLAR,7.04,,,7.04,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2014-03-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,76.23,,,66.30,,3.32,,6.61,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2014-03-20,31944d3aedb7a5e7a87c9aa3f8dae825,GEMSTELECOM,68.97,,,59.99,,3,,5.98,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2014-03-23,31944d3aedb7a5e7a87c9aa3f8dae825,LTD OPTIMUM R BATUMI 300.00 GEORGIAN LARI,199.29,,,199.29,,,,,,,,Androids,c75953b26e4343611a770d806bb1b554,,,Credit card statement
2014-04-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            15.48 US DOLLAR,17.53,,,17.53,,,,,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
