"Date";"Account Name";"Number";"Description";"Notes";"Memo";"Category";"Type";"Action";"Reconcile";"To With Sym";"From With Sym";"To Num.";"From Num.";"To Rate/Price";"From Rate/Price"
"2012-01-24";"Cash and Deposit";"";"Dr Laura SREMOVED - Training for Psychology";"";"";"Sales";"T";"";"N";"C$500.00";"";"500.00";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$500.00";"";"500.00";"";"1.00";""
"";"";"";"";"";"";"Sales";"S";"";"N";"";"-C$500.00";"";"-500.00";"";"1.00"
"2012-01-27";"Cash and Deposit";"";"Click Imprimerie - Business card";"";"";"Publicity";"T";"";"N";"-C$11.35";"";"-11.35";"";"";""
"";"";"";"";"";"";"Publicity";"S";"";"N";"";"C$11.35";"";"11.35";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$11.35";"";"-11.35";"";"1.00";""
"2012-01-31";"Cash and Deposit";"";"Click Imprimerie";"";"";"Publicity";"T";"";"N";"-C$4.54";"";"-4.54";"";"";""
"";"";"";"";"";"";"Publicity";"S";"";"N";"";"C$4.54";"";"4.54";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$4.54";"";"-4.54";"";"1.00";""
"2012-02-02";"Cash and Deposit";"";"STM";"";"";"Travel";"T";"";"N";"-C$75.50";"";"-75.50";"";"";""
"";"";"";"";"";"";"Travel";"S";"";"N";"";"C$75.50";"";"75.50";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$75.50";"";"-75.50";"";"1.00";""
"2012-02-07";"Cash and Deposit";"";"Resto Basilic";"";"";"Representation";"T";"";"N";"-C$21.74";"";"-21.74";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$21.74";"";"21.74";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$21.74";"";"-21.74";"";"1.00";""
"2012-02-08";"Cash and Deposit";"";"Pho Bac";"";"";"Representation";"T";"";"N";"-C$8.00";"";"-8.00";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$8.00";"";"8.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$8.00";"";"-8.00";"";"1.00";""
"2012-02-16";"Cash and Deposit";"";"Telus";"";"";"Cell Phone";"T";"";"N";"-C$72.43";"";"-72.43";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$72.43";"";"72.43";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$72.43";"";"-72.43";"";"1.00";""
"2012-02-21";"Cash and Deposit";"";"Domain At cost";"";"";"Dues and Subscriptions";"T";"";"N";"-C$45.00";"";"-45.00";"";"";""
"";"";"";"";"";"";"Dues and Subscriptions";"S";"";"N";"";"C$45.00";"";"45.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$45.00";"";"-45.00";"";"1.00";""
"2012-02-22";"Cash and Deposit";"";"Mon-Nan";"";"";"Representation";"T";"";"N";"-C$28.15";"";"-28.15";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$28.15";"";"28.15";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$28.15";"";"-28.15";"";"1.00";""
"2012-02-29";"Cash and Deposit";"";"1219 Cressent";"";"";"Representation";"T";"";"N";"-C$16.00";"";"-16.00";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$16.00";"";"16.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$16.00";"";"-16.00";"";"1.00";""
"2012-03-06";"Cash and Deposit";"";"Koodo";"";"";"Cell Phone";"T";"";"N";"-C$37.30";"";"-37.30";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$37.30";"";"37.30";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$37.30";"";"-37.30";"";"1.00";""
"2012-03-07";"Cash and Deposit";"";"Taco house";"";"";"Representation";"T";"";"N";"-C$5.18";"";"-5.18";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$5.18";"";"5.18";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$5.18";"";"-5.18";"";"1.00";""
"2012-03-08";"Cash and Deposit";"";"Poste Canada";"";"";"Postage and Delivery";"T";"";"N";"-C$1.48";"";"-1.48";"";"";""
"";"";"";"";"";"";"Postage and Delivery";"S";"";"N";"";"C$1.48";"";"1.48";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1.48";"";"-1.48";"";"1.00";""
"2012-03-12";"Cash and Deposit";"";"L'Ambroisie";"";"";"Representation";"T";"";"N";"-C$13.61";"";"-13.61";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$13.61";"";"13.61";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$13.61";"";"-13.61";"";"1.00";""
"2012-03-15";"Cash and Deposit";"";"IGA";"";"";"Office food";"T";"";"N";"-C$34.32";"";"-34.32";"";"";""
