CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/03,1,"Remise gouvernementale /Retenue a la source Qc.","",1420.51,"","","","","",37866.37,ReconstructedFromPDF
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/03,2,"Remise gouvernementale /Retenue a la source fed.","",681.01,"","","","","",37185.36,ReconstructedFromPDF
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/03,3,"Virement - AccesD Internet",“”,1641.84,"","","","","",35543.52,ReconstructedFromPDF,Assets:Equipment
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/03,4,"Virement - AccesD Internet",“”,4000,"","","","","",31543.52,ReconstructedFromPDF,Shareholder:Employee3
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/03,5,"Cheque",27,689.78,"","","","","",30853.74,ReconstructedFromPDF,Taxes:TVQ
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/08,6,"Cheque",29,1061.11,"","","","","",29792.63,ReconstructedFromPDF,Payroll:Employee11
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/10,7,"Cheque",28,2069.55,"","","","","",27723.08,ReconstructedFromPDF,Rent:QuoVadis
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/25,8,"Cheque",32,992.66,"","","","","",26730.42,ReconstructedFromPDF,Payroll:Employee12
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/26,9,"Cheque",31,611.12,"","","","","",26119.3,ReconstructedFromPDF,Payroll:Employee12
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/30,10,"Remise gouvernementale /Retenue a la source Qc.","",1142.07,"","","","","",24977.23,ReconstructedFromPDF
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/30,11,"Remise gouvernementale /Retenue a la source fed.","",549.3,"","","","","",24427.93,ReconstructedFromPDF
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/30,12,"Frais d'utilisation","",2,"","","","","",24425.93,ReconstructedFromPDF
CD ST-HENRI VILLE-EMARD,"281211","EOP",2013/04/30,13,"Frais fixes d'utilisation","",4.95,"","","","","",24420.98,ReconstructedFromPDF
