
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/05/31",00001,"Cheque",38,924.21,"","","","","",31936.73
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/05/31",00002,"Cheque",39,1063.07,"","","","","",30873.66
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/05/31",00003,"Cheque",40,103.44,"","","","","",30770.22
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/05/31",00004,"Frais d'utilisation","",1.25,"","","","","",30768.97
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/05/31",00005,"Frais fixes d'utilisation","",4.95,"","","","","",30764.02
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/06/12",00006,"Remise gouvernementale /Retenue a la source Qc.","",1261.84,"","","","","",29502.18
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/06/12",00007,"Remise gouvernementale /Retenue a la source fed.","",614.17,"","","","","",28888.01
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/06/19",00008,"Virement - AccesD Internet","",8000.00,"","","","","",20888.01
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/06/19",00009,"Remise gouvernementale TPS-TVQ /Paiement taxes TPS/TVQ","",5302.32,"","","","","",15585.69
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/06/28",00010,"Frais fixes d'utilisation","",4.95,"","","","","",15580.74

