
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/02",00001,"Frais effet sans provision","",42.50,"","","","","",388.86
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/03",00002,"Virement - AccesD Internet","","",3500.00,"","","","",3888.86
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/03",00003,"Cheque",13,1092.41,"","","","","",2796.45
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/05",00004,"Depot au GA /C.D.S. SAINT-PAUL","","",435.29,"","","","",3231.74
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/13",00005,"Depot au comptoir /CAISSE CENTRALE DESJ.     ","","",4875.00,"","","","",8106.74
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/13",00006,"Cheque",14,1092.41,"","","","","",7014.33
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/24",00007,"Remise gouvernementale /Retenue a la source Qc.","",4.00,"","","","","",7010.33
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/24",00008,"Remise gouvernementale /Retenue a la source fed.","",1.00,"","","","","",7009.33
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/24",00009,"Remise gouvernementale /Retenue a la source Qc.","",998.10,"","","","","",6011.23
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/24",00010,"Remise gouvernementale /Retenue a la source fed.","",486.75,"","","","","",5524.48
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/31",00011,"Frais d'utilisation","",1.25,"","","","","",5523.23
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/31",00012,"Frais fixes d'utilisation","",4.95,"","","","","",5518.28
CD ST-HENRI VILLE-EMARD,"281211","EOP","2013/12/31",00013,"Frais - Contenu depot commercial","",0.20,"","","","","",5518.08

