Date1,AccountNumber2,Payee3,Total,TotalGnucash4,ExpenseGnucash5,Expense,TPSGnucash6,TPS,TVQGnucash7,TVQ,TipsGnucash8,Tips,Currency,Category,CategoryID,Category9,MemoField,Reconciled from
2013-04-29,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST            ,13.6,,,11.83,,0.59,,1.18,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-05-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com            0.26 US DOLLAR,0.26,,,0.26,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-05-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com           46.24 US DOLLAR,47.7,,,47.70,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-05-04,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC         ,46.45,,,40.40,,2.02,,4.03,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-05-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-05-18,146246790ca7fd24cd33420800c3a694,Walmart,160.78,,,139.84,,6.99,,13.95,,0,CAD,Furniture,f8d9656e0c68baa8c46bd25c8eb2f8cb,,Microwave and toaster for new office,Paper Receipt
2013-05-25,146246790ca7fd24cd33420800c3a694,Ikea,143.66,,,124.95,,6.25,,12.46,,9,CAD,Furniture,f8d9656e0c68baa8c46bd25c8eb2f8cb,,Desk protectors for the office,Paper Receipt
2013-05-27,146246790ca7fd24cd33420800c3a693,BUREAU EN GROS #306,103.44,,,89.97,,4.50,,8.97,,0,CAD,Networking Hardware,fc5bf64f1a519ee39c05e7d9a1a74924,,"Wifi router bought by Josh, reimbursed as cheque 40",Paper Receipt
2013-05-27,146246790ca7fd24cd33420800c3a694,Ikea,3198.63,,,2782.02,,139.10,,277.51,,9,CAD,Furniture,f8d9656e0c68baa8c46bd25c8eb2f8cb,,New furniture for the office,Paper Receipt
2013-05-28,146246790ca7fd24cd33420800c3a694,Home Depot,40.15,,,34.92,,1.75,,3.48,,0,CAD,Office equipment,af71b129304b6b0bea736cf1cf965702,,"Felt Gard for furniture, Reflector, DWKIT",Paper Receipt
2013-06-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services     aws.amazon.com       49.20 US DOLLAR,52.04,,,52.04,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-06-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,66.03,,,57.43,,2.87,,5.73,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-06-08,146246790ca7fd24cd33420800c3a694,BUREAU EN GROS #31,30.94,,,26.91,,1.35,,2.68,,,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,Envelopes and filling sleaves for the filing cabinet,Paper Receipt
2013-06-10,146246790ca7fd24cd33420800c3a694,PHARMAPRIX #0029,20.67,,,17.98,,0.90,,1.79,,0,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,garbage bags for the office,Paper Receipt
2013-06-13,146246790ca7fd24cd33420800c3a694,PHARMAPRIX #0029,13.39,,,11.65,,0.58,,1.16,,,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,plunger,Paper Receipt
2013-06-15,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-06-19,146246790ca7fd24cd33420800c3a694,Canada Poste,18.2,,,15.83,,0.79,,1.58,,,CAD,Postage and Delivery,3511d11000fe2ce747dcf0a36cc06125,,Registered mail to new york,Paper Receipt
2013-06-29,146246790ca7fd24cd33420800c3a694,Canadian Tire Lasalle,158.13,,,137.53,,6.88,,13.72,,0,CAD,Office equipment,af71b129304b6b0bea736cf1cf965702,,"Table, lighter, wrenches for the office",Paper Receipt
2013-07-05,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.com           54.66 US DOLLAR,58.72,,,58.72,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-07-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,83.93,,,73.00,,3.65,,7.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-07-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-07-30,31944d3aedb7a5e7a87c9aa3f8dae825,PHARMAPRIX #29           ,15.78,,,13.72,,0.69,,1.37,,0,CAD,Postage and Delivery,3511d11000fe2ce747dcf0a36cc06125,,Shipped mac laptop for repairs to V6Z2Y6,"Paper Receipt, Credit card statement"
2013-08-01,31944d3aedb7a5e7a87c9aa3f8dae825,Dollarama,3.93,,,3.42,,0.17,,0.34,,0,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,snacks for office,Paper Receipt
2013-08-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co           56.05 US DOLLAR,59.78,,,59.78,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-08-03,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,69.44,,,60.40,,3.02,,6.02,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-08-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-09-03,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST            ,47.1,,,40.97,,2.05,,4.09,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-09-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co 51.10 US DOLLAR,55.23,,,55.23,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-09-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,69.44,,,60.40,,3.02,,6.02,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-09-14,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,74.27,,,64.60,,3.23,,6.44,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-09-27,146246790ca7fd24cd33420800c3a694,PHARMAPRIX #0029,4.36,,,3.79,,0.19,,0.38,,0,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,hand soap,Paper Receipt
2013-10-01,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,31.4,,,27.31,,1.37,,2.72,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-10-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,69.44,,,60.40,,3.02,,6.02,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,reconstructed,Uu
2013-10-14,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,74.27,,,64.60,,3.23,,6.44,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,reconstructed,
2013-10-26,146246790ca7fd24cd33420800c3a694,Michaels,17.24,,,14.99,,0.75,,1.50,,0,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,paintings,Paper Receipt
2013-10-26,146246790ca7fd24cd33420800c3a694,Teavana,94.17,,,81.90,,4.10,,8.17,,0,CAD,Office expenses,af71b129304b6b0bea736cf1cf965702,,tea decanter and tea for the office,Paper Receipt
2013-11-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co           11.56 US DOLLAR,12.39,,,12.39,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-11-06,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co           15.84 US DOLLAR,16.99,,,16.99,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-11-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC         ,43.08,,,37.47,,1.87,,3.74,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-11-16,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH   ,72.43,,,63.00,,3.15,,6.28,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-11-27,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST/DOMAINSA   ,27.2,,,23.66,,1.18,,2.36,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-12-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co            3.12 US DOLLAR,3.41,,,3.41,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-12-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co           11.56 US DOLLAR,12.68,,,12.68,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-12-04,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services      aws.amazon.co           15.37 US DOLLAR,16.81,,,16.81,,0.00,,0.00,,,,Amazon,5add7dd99382de8f166cb7e89b744062,,,Credit card statement
2013-12-06,31944d3aedb7a5e7a87c9aa3f8dae825,KOODO MOBILE PAC,52.2,,,45.40,,2.27,,4.53,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-12-14,31944d3aedb7a5e7a87c9aa3f8dae825,TELUS MOBILITY PREAUTH,82.55,,,71.80,,3.59,,7.16,,,,Utilities,49bcd9d8957972e606cc9d8465796402,,,Credit card statement
2013-12-24,31944d3aedb7a5e7a87c9aa3f8dae825,CORPORATN/IC 4303401,20,,,20.00,,0.00,,0.00,,,,Licenses,3fd8cb454a9cb1e969a7145c1e554916,,,Credit card statement
