CD ST-HENRI VILLE-EMARD,81211,"EOP",2013/05/02,1,Cheque/no 5,"",1379.62,"","","","","",16328.45
CD ST-HENRI VILLE-EMARD,81212,"EOP",2013/05/03,2,"Remise gouvernementale /Retenue a la source Qc.","",639.88,"","","","","",15688.57
CD ST-HENRI VILLE-EMARD,81213,"EOP",2013/05/03,3,"Remise gouvernementale /Retenue a la source fed.","",316.68,"","","","","",15371.89
CD ST-HENRI VILLE-EMARD,81214,"EOP",2013/05/09,4,"Virement - AccesD Internet","",1352.83,"","","","","",14019.06
CD ST-HENRI VILLE-EMARD,81215,"EOP",2013/05/14,5,Cheque/no 6,"",1379.62,"","","","","",12639.44
CD ST-HENRI VILLE-EMARD,81216,"EOP",2013/05/24,6,Cheque/no 7,"",1379.62,"","","","","",11259.82
CD ST-HENRI VILLE-EMARD,81217,"EOP",2013/05/31,7,"Virement - AccesD Internet","",4.95,"","","","","",11254.87
